구분,일정 시작일,일정 종료일,일정제목,작성일
172,2014-04-22,2014-04-22,2014 여성과학기술인연차대회,2014-04-09
173,2014-04-12,2014-04-12,사이언스타,2014-04-09
174,2014-04-10,2014-04-10,그린 조선해양플랜트 해외인증 기업지원 사업 협약식 및 기술지원 세미나,2014-04-10
175,2014-04-19,2014-04-19,제103회 별이있는음악여행,2014-04-10
176,2014-04-12,2014-04-13,제32회 사이언스데이 개최,2014-04-10
177,2014-04-14,2014-04-14,선박해양플랜트연구소 설립기념식,2014-04-14
178,2014-04-23,2014-04-23,부산연구개발특구 산학연 간담회 개최,2014-04-15
179,2014-04-29,2014-04-29,ETRI·부산광역시 공동연구실 개소 1주년,2014-04-23
180,2014-04-24,2014-04-24,제1회 미음산단 협동화단지 입주업체 방문 설명,2014-04-15
181,2014-04-19,2014-04-19,과학 퍼포먼스 공연,2014-04-17
182,2014-04-26,2014-04-26,사이언스타,2014-04-21
183,2014-05-02,2014-05-02,부산연구개발특구 출범 1주년,2014-04-21
184,2014-05-28,2014-05-28,'14년도 상반기 통합 바이어 상담회,2014-04-23
185,2014-05-14,2014-05-14,해상풍력 재킷(JACKET)구조물 설계 특별세미나,2014-04-23
186,2014-04-25,2014-04-25,산·연·관 IP(지식재산권)-R&D 전략세미나,2014-04-24
187,2014-05-16,2014-05-16,제1회 부산특구본부 역량강화교육 개최,2014-05-07
188,2014-05-03,2014-05-05,어린이날 맞이 교육프로그램,2014-05-08
189,2014-05-03,2014-05-03,제104회 별이 있는 음악여행,2014-05-08
190,2014-05-09,2014-05-09,제9회 PSV 창업스쿨 & 창업경진대회,2014-05-08
191,2014-05-31,2014-06-01,2014 무한상상 플러스,2014-05-08
192,2014-05-22,2014-05-22,2014년도 한국해양과학기술협의회 공동학술대회,2014-05-08
193,2014-05-23,2014-05-23,2014년도 한국해양과학기술협의회 공동학술대회,2014-05-08
194,2014-05-15,2014-05-15,제1회 기업성장포럼 개최,2014-05-14
195,2014-05-27,2014-05-28,2014 미래창조과학 국제콘퍼런스,2014-05-14
196,2014-06-20,2014-06-20,2014년 사업자 대상 개인정보보호 교육 개최,2014-05-22
197,2014-05-27,2014-05-27,제35회 대덕이노폴리스포럼,2014-05-26
198,2014-06-26,2014-06-26,제2회 부산특구본부 역량강화 교육 개최,2014-06-13
199,2014-06-23,2014-06-23,'2014 동남권 우수기업 일자리 한마당' 참가기업 모집,2014-06-10
200,2014-06-18,2014-06-18,2014년 Cross Border 기술사업화 정책세미나,2014-06-10
201,2014-06-12,2014-06-12,기술찾기 포럼,2014-06-10
202,2014-06-12,2014-06-12,2014 대덕 사이언스 나눔터 「 힐링콘서트」,2014-06-12
203,2014-06-12,2014-06-12,'14년 부산특구 기술탐색이전공급 사업 Kick-off회의 개최,2014-06-12
204,2014-06-17,2014-06-17,"부산연구개발특구, '이노폴리스 캠퍼스' 현판 수여식 개최",2014-06-17
205,2014-06-24,2014-06-24,제1회 부산특구본부 직원전문성배양 세미나,2014-06-19
206,2014-06-25,2014-06-25,2014년 부산특구 기술찾기 및 기술사업화 기업성장을 위한 사업설명회,2014-06-20
207,2014-06-26,2014-06-26,기술찾기 포럼 개최(5차 IT융합분과위원회),2014-06-20
208,2014-06-27,2014-06-27,연구개발특구진흥재단 이사장 부산특구본부 방문,2014-06-27
209,2014-07-22,2014-07-22,제36회 대덕이노폴리스포럼,2014-07-01
210,2014-07-10,2014-07-10,2014 연구개발특구 창조특허기술박람회,2014-06-27
211,2014-07-18,2014-07-18,제1회 부산특구 산학연 간담회 개최,2014-07-10
212,2014-07-19,2014-07-19,대덕사이언스투어(주말투어),2014-07-02
213,2014-07-26,2014-07-26,대덕사이언스투어(주말투어),2014-07-02
214,2014-07-08,2014-07-08,제2회 부산특구본부 직원 전문성 배양 세미나 개최,2014-07-08
215,2014-07-09,2014-07-09,부산특구 토지용도구역 지정 및 특구관리계획 수립 용역 선정평가,2014-07-09
216,2014-07-08,2014-07-08,기술찾기포럼개최 (7차 NT융합분과 분과위원회),2014-07-09
217,2014-07-10,2014-07-10,기술찾기 포럼 개최 (제6차 IT융합분과위원회),2014-07-09
218,2014-08-28,2014-08-28,2014 조선해양 대표 바이어 초청 수출상담회,2014-07-21
219,2014-08-29,2014-08-29,2014 조선해양 대표 바이어 초청 수출상담회,2014-07-21
220,2014-08-28,2014-08-28,대덕사이언스나눔터 문화공연,2014-08-21
221,2014-08-01,2014-08-01,이노폴리스캠퍼스 현판수여식,2014-07-28
222,2014-07-24,2014-07-24,'14년도 기술금융 연계형 기업성장 지원사업 대상기업 선정평가 개최,2014-07-24
223,2014-07-24,2014-07-24,기술찾기 포럼 개최 (7차IT융합분과위원회),2014-07-24
